News_ID,Link_to_check
edmo_1566,https://southfront.org/ 
edmo_1568,https://tass.com/politics/1417543
edmo_1654,https://people.com/politics/injured-pregnant-woman-seen-at-russian-hit-maternity-ward-gave-birth/
edmo_1654,https://meduza.io/feature/2022/03/12/neuzheli-ukraina-deystvitelno-sfalsifitsirovala-reportazh-ob-obstrele-roddoma-v-mariupole-spoyler-net
edmo_1673,https://babylonbee.com/news/media-says-spike-in-myocarditis-may-be-linked-to-ukraine-crisis
edmo_1673,https://babylonbee.com/news/after-conviction-for-sex-crimes-ghislaine-maxwell-announces-new-job-at-cnn
edmo_1673,https://babylonbee.com/news/white-house-whistleblower-claims-strangers-drag-him-from-place-to-place-and-make-him-sign-papers-and-read-words-on-monitors-and-he-hardly-gets-any-ice-cream
edmo_1676,https://babylonbee.com/news/nyc-restaurants-now-require-proof-of-ukraine-support
edmo_1747,https://tass.com/politics/1419131
edmo_1760,https://tass.com/economy/1259587?utm_source=google.de&utm_medium=organic&utm_campaign=google.de&utm_referrer=google.de
edmo_1764,https://tass.com/defense/1079599?utm_source=yandex.com&utm_medium=organic&utm_campaign=yandex.com&utm_referrer=yandex.com
edmo_1768,https://meduza.io/en/feature/2022/03/12/definitely-not-staged
edmo_1799,https://ria.ru/20220305/mariupol-1776657552.html?fbclid=IwAR1z5Vf13n0bh4k2mTVlkqkVZuon6K7w7XBfW4CR-CBBPiBc8wO8hdkGDbU
edmo_1808,https://contropiano.org/corsivo/2014/03/17/chi-viene-da-lontano-022843
edmo_1879,https://mundo.sputniknews.com/20220304/zelenski-deja-ucrania-y-se-muda-a-polonia-1122649103.html
edmo_1976,https://tass.com/politics/1410761?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com
edmo_1998,https://tass.com/defense/1417951
edmo_2004,https://tass.com/defense/1239353
edmo_2125,https://ria.ru/20200504/1570943359.html
edmo_2125,https://ria.ru/20200504/1570947532.html
edmo_2177,https://csglobe.com/putin-banned-rothschild-banking-cartel-russia/
spotfake_44,https://topwar.ru/224202-polskoe-izdanie-s-nachala-rossijskoj-specoperacii-na-ukraine-pogiblo-ne-menee-10-tysjach-poljakov.html
spotfake_68,https://ria.ru/20230616/pontifik-1878853369.html
spotfake_73,https://ria.ru/20230706/frantsiya-1882542160.html
spotfake_89,https://ria.ru/20230616/ges-1878590667.html
spotfake_92,https://ria.ru/20230615/budanov-1878413689.html
spotfake_96,https://ria.ru/20230606/udar-1876358858.html
spotfake_96,https://ria.ru/20230606/voda-1876357883.html
spotfake_99,https://ria.ru/20230524/belorussiya-1873839653.html
spotfake_101,https://militarywatchmagazine.com/article/putin-patriot-kinzhal-destroyed-onemonth
spotfake_104,https://ria.ru/20230518/naselenie-1872782593.html
spotfake_109,https://ria.ru/20230515/zelenskiy-1871672554.html
spotfake_110,https://ria.ru/20230507/afiny-1870364314.html
spotfake_113,https://atlantico.fr/article/decryptage/zone-grise-des-carpates-stupefiants-inondant-l-europe-nous-y-voila-comme-prevu-trafic-drogue-stupefiants-armes-criminalite-xavier-raufer
spotfake_125,https://ria.ru/20230413/kompensatsiya-1865052953.html
spotfake_126,https://ria.ru/20230410/vlasti-1864222460.html
spotfake_130,https://ria.ru/20230405/regiony-1863337738.html
spotfake_134,https://ria.ru/20230313/ukraina-1857441344.html
spotfake_136,https://ria.ru/20230322/snaryady-1859667632.html
spotfake_136,https://ria.ru/20230321/oruzhie-1859581976.html?in=t
spotfake_138,https://ria.ru/20230319/ukraina-1858943406.html
spotfake_156,https://topwar.ru/210281-sbezhavshie-v-polshu-ot-mobilizacii-ukrainskie-muzhchiny-nachali-poluchat-povestki.html
spotfake_157,https://ria.ru/20221006/zelenskiy-1822083252.html
spotfake_162,https://ria.ru/amp/20230126/tanki-1847719759.html?fbclid=IwAR19_6P9yUvUxR6DwGDOgdp6z_Fmc9aXTPE2e2qq49k73NknmOLlfrqu4Eg
spotfake_170,https://topwar.ru/208919-na-polskom-televidenii-territoriju-zapadnoj-ukrainy-pokazali-uzhe-prisoedinennoj-k-polshe.html?utm_source=yxnews&utm_medium=desktop
spotfake_172,https://ria.ru/20230113/ukraina-1844543007.html
spotfake_190,https://ria.ru/20221023/ukraina-1826080997.html
spotfake_194,https://ria.ru/20221010/udary-1822776311.html
spotfake_197,https://tj.sputniknews.ru/20221007/sadizm-rusofobita-propaganda-1051956440.html
spotfake_205,https://ria.ru/20220905/krym-1814413386.html
spotfake_205,https://ria.ru/20200826/krym-1576332274.html
spotfake_206,https://ria.ru/20220831/berbok-1813527763.html
spotfake_210,https://ria.ru/20220824/nastuplenie-1811751902.html
spotfake_223,https://ria.ru/20220818/obeschaniya-1810342881.html
spotfake_230,https://sputnik-abkhazia.ru/20220808/fiktivnye-firmy-i-nelegalnye-opyty-kak-ssha-zapustili-s-ukrainy-covid-19-1040794096.html
spotfake_231,https://ria.ru/20220222/sanktsii-1774252053.html
spotfake_234,https://ria.ru/20220808/ustupki-1807918062.html?fbclid=IwAR1Q2xoNaxzTI2E31SpHjmp6-8osNluIoEt6BpWJpFSBHE7toGDJ25eaJeE
spotfake_238,https://ria.ru/20220727/gazprom-1805295092.html
spotfake_238,https://ria.ru/20220803/turbina-1807065355.html
spotfake_238,https://ria.ru/20220804/siemens-1807258264.html
spotfake_241,https://ria.ru/20220316/ges-1778425012.html
spotfake_245,https://ria.ru/20220802/spetsoperatsiya-1806613866.html
spotfake_251,https://politros.com/23562060-360kuai_nato_stalo_koe_o_chem_dogadivat_sya_naschet_deistvii_rossii_na_ukraine
spotfake_254,https://ria.ru/20220729/obstrel-1805898146.html
spotfake_264,https://ria.ru/20220622/zerno-1797236224.html
spotfake_264,https://ria.ru/20220715/lnr-1802878524.html
spotfake_270,https://anna-news.info/evrokomissar-po-vnutrennim-delam-johanson-es-opasaetsya-rosta-kontrabandy-oruzhiya-iz-ukrainy/
spotfake_274,https://ria.ru/20220706/kharkov-1800797803.html?utm_source=yxnews&utm_medium=desktop
spotfake_276,https://ria.ru/20220707/vks-1800882247.html?utm_source=yxnews&utm_medium=desktop
spotfake_279,https://ria.ru/20220707/samolety-1800882993.html
spotfake_284,https://english.alarabiya.net/News/world/2022/06/30/World-War-III-already-started-on-Feb-24-Ukraine-Defense-Minister-Reznikov
spotfake_285,https://ria.ru/20220627/ukraina-1798481134.html
spotfake_289,https://ria.ru/20201017/krym-1580299848.html?fbclid=IwAR2w6BjjsQ_hVxOHy1vmHP8e03y4bZVjmEOMvXDfPQX4iS-1fPtdYVmWZkY
spotfake_291,https://pagesix.com/2014/10/24/cancer-rumors-swirl-around-putin/
spotfake_292,https://ria.ru/20220605/ukraina-1793264273.html
spotfake_298,https://ria.ru/20220529/sk-1791622244.html
spotfake_301,https://topwar.ru/196874-ostavshiesja-ot-samogo-bolshogo-v-mire-samoleta-an-225-mrija-fragmenty-vyvezli-iz-ajeroporta-gostomel.html
spotfake_304,https://truthout.org/articles/noam-chomsky-us-military-escalation-against-russia-would-have-no-victors/
spotfake_316,https://ria.ru/20220430/krym-1786328521.html
spotfake_322,https://orf.at/stories/3262231/
spotfake_329,https://ria.ru/20220418/dnr-1784202801.html
spotfake_332,https://topwar.ru/195060-v-rajone-odessy-sbit-voenno-transportnyj-samolet-vvs-ukrainy-s-gruzom-zapadnogo-vooruzhenija.html
spotfake_337,https://ria.ru/20220412/bezhentsy-1783065459.html
spotfake_345,https://ria.ru/20220409/kramatorsk-1782722177.html
spotfake_347,https://ria.ru/20220406/konventsiya-1782130076.html?fbclid=IwAR2A_oUfxXkWoJOyAbmpPqMhSSiENYDzI32F3gDimqnacB2FzzYslblVMqI
spotfake_349,https://sputniknews.com/person_Jim_Jatras/
spotfake_351,https://ria.ru/20220331/bezhentsy-1781129438.html
spotfake_357,https://ria.ru/20220325/voennye-1780097541.html
spotfake_358,https://ria.ru/20220326/damba-1780278105.html
spotfake_370,https://ria.ru/20220310/lnr-1777444209.html
spotfake_371,https://ria.ru/20220316/evakuatsiya-1778559947.html
spotfake_377,https://ru.armeniasputnik.am/20220311/ukraina-gotovilas-napast-na-belarus---lukashenko-39650683.html
spotfake_388,https://ria.ru/20220307/ukraina-1777028627.html
spotfake_390,https://ria.ru/20220307/provokatsiya-1776990320.html
spotfake_392,https://ria.ru/20220306/ukraina-1776879786.html
spotfake_414,https://lt.sputniknews.ru/20220226/zelenskiy-sbezhal-vo-lvov-soobschil-spiker-gosdumy-21800372.html
